gal_id,r_kpc,g_obs,g_bar,g_mod
MilkyWay,5.25,9817.630096716612,10902.464971000585,13190.934767764466
MilkyWay,5.75,9212.871638462173,9652.961919561974,11793.438109144809
MilkyWay,6.25,8590.799125405341,8578.978185067579,10601.428771139197
MilkyWay,6.75,7817.009110118874,7655.349484942345,9581.066016329189
MilkyWay,7.25,7257.613453477822,6859.456268697951,8703.920315473075
MilkyWay,7.75,6855.856082050829,6171.628604595614,7946.328340484651
MilkyWay,8.25,6386.562607496519,5575.1038784395405,7288.719800347519
MilkyWay,8.75,5887.828404928415,5055.767015453784,6714.966520575367
MilkyWay,9.25,5392.108668764167,4601.810432276592,6211.792883022799
MilkyWay,9.75,5155.334572263004,4203.386764909515,5768.265234060322
MilkyWay,10.25,4986.695291793978,3852.2888366120155,5375.362427997463
MilkyWay,10.75,4674.805719805951,3541.6700042642688,5025.621294149046
MilkyWay,11.25,4402.775140442087,3265.807071810169,4712.847320458363
MilkyWay,11.75,4433.86014357232,3019.9028486546977,4431.880143407067
MilkyWay,12.25,4265.046710899236,2799.9234404841463,4178.404114306441
MilkyWay,12.75,4017.14497417884,2602.4649460323512,3948.7954535411086
