name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,bar_class,g_bar,v2p3_ape,per_galaxy_ape,delta_ape,v2p3_params,per_galaxy_params
CamB,Im,late,0.0,0.47,33.1,0.7918202350504602,S,0.7316,58.4556884765625,57.82568359375,0.6300048828125,"{'eta': 0.5045709171129797, 'ring_amp': 2.1948, 'M_max': 1.6407982491423345, 'lambda_ring': 9.696598463124353, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5474307560663114, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010000762505925485, 'ring_amp': 6.481620495927982e-05, 'M_max': 2.9813184456786646, 'bulge_gate_power': 43.24698972979257, 'lambda_hat': 5.124797879730373}"
D512-2,Im,late,0.0,1.24,46.97,0.7490131351004494,S,0.7316,32.571266174316406,2.9777638912200928,29.593502283096313,"{'eta': 0.5473157713511047, 'ring_amp': 2.1948, 'M_max': 1.5927618272729793, 'lambda_ring': 9.426964555637639, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5335599575867271, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.9615711892183582, 'ring_amp': 9.635356454938574, 'M_max': 1.7500218824881075, 'bulge_gate_power': 33.224687704513705, 'lambda_hat': 18.52541686012775}"
D564-8,Im,late,0.0,0.61,10.565,0.7444917907120756,S,0.7316,40.973384857177734,2.645246744155884,38.32813811302185,"{'eta': 0.39945785565759384, 'ring_amp': 2.1948, 'M_max': 1.587711379220756, 'lambda_ring': 9.399529636207228, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.532053447872574, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.999996663015264, 'ring_amp': 2.2124913454670314, 'M_max': 4.912684255044561, 'bulge_gate_power': 38.86301527799567, 'lambda_hat': 49.999917744651356}"
D631-7,Im,late,0.0,0.7,57.52,0.4954407692909656,S,0.7316,34.60785675048828,16.171321868896484,18.436534881591797,"{'eta': 0.5738134746822385, 'ring_amp': 2.1948, 'M_max': 1.3383247997583287, 'lambda_ring': 8.29824237788369, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.4386065573636844, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9999999201750205, 'ring_amp': 0.15946820607232587, 'M_max': 4.999999997573485, 'bulge_gate_power': 4.434154724345982, 'lambda_hat': 49.99998005570658}"
DDO064,Im,late,0.0,0.69,75.825,0.16310707539762326,S,0.7316,39.50497055053711,12.167132377624512,27.337838172912598,"{'eta': 0.6114135828502627, 'ring_amp': 2.1948, 'M_max': 1.2028670019199563, 'lambda_ring': 8.000889941078512, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.3199548167394504, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.8291528070149885, 'ring_amp': 6.757315156928464, 'M_max': 1.8684416212386328, 'bulge_gate_power': 47.753923981706826, 'lambda_hat': 39.00150964338899}"
DDO154,Im,late,0.0,0.37,35.63,0.774492009815339,S,0.7316,44.37929153442383,5.418088436126709,38.96120309829712,"{'eta': 0.513205471584015, 'ring_amp': 2.1948, 'M_max': 1.6213184468099862, 'lambda_ring': 9.585385894096618, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5419017382034106, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9999999315017274, 'ring_amp': 0.9873740753501596, 'M_max': 4.999997407099846, 'bulge_gate_power': 31.841419559668818, 'lambda_hat': 49.88786802012992}"
DDO161,Im,late,0.0,1.22,84.685,0.6658737834248012,S,0.7316,8.637312889099121,3.4304263591766357,5.206886529922485,"{'eta': 0.6267618000200839, 'ring_amp': 2.1948, 'M_max': 1.501489514532195, 'lambda_ring': 8.95968254703978, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.504630260922052, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.39841907464206994, 'ring_amp': 0.21199000221443182, 'M_max': 3.7698329555113768, 'bulge_gate_power': 15.16691115887254, 'lambda_hat': 31.26582017531371}"
DDO168,Im,late,0.0,1.02,46.11,0.83227781534097,S,0.7316,29.308191299438477,6.190116882324219,23.118074417114258,"{'eta': 0.5449565164333955, 'ring_amp': 2.1948, 'M_max': 1.6862838790910966, 'lambda_ring': 9.965866792593994, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5598834886089172, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9999872474888256, 'ring_amp': 0.7193457222346451, 'M_max': 2.6489044554712367, 'bulge_gate_power': 43.60443460997601, 'lambda_hat': 49.99575726748928}"
DDO170,Im,late,0.0,1.95,36.965,0.653532779746515,S,0.7316,23.68562889099121,3.170415163040161,20.51521372795105,"{'eta': 0.5175934314438765, 'ring_amp': 2.1948, 'M_max': 1.4883550897831106, 'lambda_ring': 8.897657596325807, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5001232570828089, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.803110361265228, 'ring_amp': 0.2623756046043349, 'M_max': 2.2689706690144225, 'bulge_gate_power': 6.242074716170146, 'lambda_hat': 28.90961641125221}"
ESO079-G014,Sbc,intermediate,0.3,5.08,1147.625,0.7387410222640899,SB,0.45,12.049249649047852,7.666964054107666,4.3822855949401855,"{'eta': 0.2261447882146406, 'ring_amp': 0.45065834999999993, 'M_max': 1.2915494700696297, 'lambda_ring': 8.327723021393075, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.5301259472294342, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 7.62, 'w_bar': 1.016, 'gamma_bar_taper': 2.5, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.033322833423235894, 'ring_amp': 1.7493152899563347, 'M_max': 0.6675562801079484, 'bulge_gate_power': 19.17060972591519, 'lambda_hat': 46.262038736680196}"
ESO116-G012,Sd,late,0.06,1.51,660.39,0.8405177324251826,S,0.7316,12.09160041809082,4.46946382522583,7.62213659286499,"{'eta': 0.6837867520219578, 'ring_amp': 1.7729373199276797, 'M_max': 1.5868815680477808, 'lambda_ring': 9.578812768021216, 'kappa': 0.91852, 'R_ring': 28.32, 'sigma_ring': 0.562341540404206, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.3679669887925565, 'ring_amp': 1.0125506724975841, 'M_max': 4.094575783064954, 'bulge_gate_power': 6.56769473296225, 'lambda_hat': 26.39434415508784}"
ESO444-G084,Im,late,0.0,0.46,33.405,0.5211851571368538,S,0.7316,56.06700897216797,16.146495819091797,39.92051315307617,"{'eta': 0.5056349536599952, 'ring_amp': 2.1948, 'M_max': 1.3598084219475584, 'lambda_ring': 8.370355477814558, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.4489819256130861, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9998567573310453, 'ring_amp': 14.999922285211653, 'M_max': 4.9999856259683, 'bulge_gate_power': 53.59493236443798, 'lambda_hat': 12.431100216973855}"
ESO563-G021,Sbc,intermediate,0.3,5.45,3279.445,0.7328612968522806,SB,0.45,31.065046310424805,19.584199905395508,11.480846405029297,"{'eta': 0.23768633544453976, 'ring_amp': 0.45065834999999993, 'M_max': 1.2899778599030998, 'lambda_ring': 8.319320416507367, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.5281421350018203, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 8.175, 'w_bar': 1.09, 'gamma_bar_taper': 2.5, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.022181620305349765, 'ring_amp': 0.03740662489972164, 'M_max': 1.5506130132598577, 'bulge_gate_power': 2.7650599484565355, 'lambda_hat': 5.000044150874049}"
F561-1,Sm,late,0.03,2.79,46.535,0.6220344778154272,S,0.7316,36.523460388183594,10.2810697555542,26.242390632629395,"{'eta': 0.4841083835493672, 'ring_amp': 1.9740909780634799, 'M_max': 1.4262237606988581, 'lambda_ring': 8.662953604299128, 'kappa': 0.9586299999999999, 'R_ring': 29.16, 'sigma_ring': 0.4883906706307058, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010000000746749485, 'ring_amp': 1.659788259487276, 'M_max': 0.6115445819551328, 'bulge_gate_power': 41.45006164048185, 'lambda_hat': 5.000000066909801}"
F563-1,Sm,late,0.03,3.52,20.885,0.7719560864667567,S,0.7316,43.431297302246094,9.390008926391602,34.04128837585449,"{'eta': 0.40380671697209264, 'ring_amp': 1.9740909780634799, 'M_max': 1.5704689170196509, 'lambda_ring': 9.389323792501228, 'kappa': 0.9586299999999999, 'R_ring': 29.16, 'sigma_ring': 0.5410827690851632, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9999214102940255, 'ring_amp': 0.3201730087047125, 'M_max': 4.999988104723264, 'bulge_gate_power': 39.86323450667443, 'lambda_hat': 47.31476843854141}"
F563-V1,Im,late,0.0,3.79,20.315,0.870542905295792,S,0.7316,23.2898006439209,5.885758876800537,17.40404176712036,"{'eta': 0.45287597696937154, 'ring_amp': 2.1948, 'M_max': 1.729072542569324, 'lambda_ring': 10.230961692474748, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5710761840868224, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.01000000105997286, 'ring_amp': 6.317060170585312, 'M_max': 0.8266408159929945, 'bulge_gate_power': 6.266126604158553, 'lambda_hat': 5.000001811810064}"
F563-V2,Im,late,0.0,2.43,73.08,0.7031544807566026,S,0.7316,40.519630432128906,6.900559902191162,33.619070529937744,"{'eta': 0.6063227091559578, 'ring_amp': 2.1948, 'M_max': 1.541918803397504, 'lambda_ring': 9.159054227742113, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5179190737271471, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9999999871829581, 'ring_amp': 14.999999953303734, 'M_max': 3.652011313609448, 'bulge_gate_power': 43.14544404876526, 'lambda_hat': 49.999999990555374}"
F565-V2,Im,late,0.0,2.17,20.13,0.5889973042858947,S,0.7316,46.01883316040039,2.5169262886047363,43.501906871795654,"{'eta': 0.45200328534277295, 'ring_amp': 2.1948, 'M_max': 1.422414833442586, 'lambda_ring': 8.608085853675348, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.4757582120108419, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.6782597982649508, 'ring_amp': 11.51198290614089, 'M_max': 4.999961247042732, 'bulge_gate_power': 17.388314945919305, 'lambda_hat': 11.393834520993863}"
